filename,model,prompt,latency_s,ocr_chars,qr_used,error,exp_type,got_type,src_type,ok_type,exp_client,got_client,src_client,ok_client,exp_date,got_date,src_date,ok_date,exp_montant,got_montant,src_montant,ok_montant,raisonnement
11_postfinance_releve.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,16.59,526,False,,releve_bancaire,releve_bancaire,llm,True,Boutique Mode Délice Sàrl,,llm,False,2026-04-30,2026-04-30,llm,True,-1846.2,-1846.2,llm,True,"Relevé bancaire pour le compte de Boutique Mode Délice Sàrl, solde final -1'846.20 CHF."
12_decompte_tva_t1.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,17.34,439,False,,document_fiscal,releve_bancaire,llm,False,SARL Étude Comptable Genevoise,,llm,False,2026-04-02,2026-03-31,llm,False,11935.65,11935.65,llm,True,Relevé de compte TVA AFC. Aucun client connu identifié.
13_quittance_cafe_simple.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,14.19,243,False,,note_frais,note_frais,llm,True,inconnu,,llm,False,2026-04-26,2026-04-26,llm,True,17.0,17.0,llm,True,"Note de frais du Café de la Gare, total 17 CHF."
14_contrat_bail_commercial.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,12.71,644,False,,contrat,,llm,False,Cabinet Avocat Vionnet & Partners,,llm,False,2026-05-01,,llm,False,4200.0,,llm,False,Aucun type de document connu reconnu dans le texte.
15_avenant_mandat_honoraires.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,14.00,463,False,,contrat,autre,llm,False,Brasserie La Cigale Sàrl,,llm,False,2026-04-18,2026-04-18,llm,True,185.0,,llm,False,Avenant au contrat de mandat sans montant ou client clair.
16_lieferant_rechnung_de.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,19.41,475,False,,facture_fournisseur,facture_fournisseur,llm,True,Treuhand Berner & Co AG,,llm,False,2026-04-11,2026-04-11,llm,True,2080.0,2080.0,llm,True,"Facture Schmid Bürotechnik AG à Treuhand Berner & Co AG, total 2'080 CHF."
17_recu_photo_floue.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,14.84,34,False,,note_frais,,llm,False,inconnu,,llm,False,2026-04-23,,llm,False,113.0,,llm,False,"OCR non lisible, aucune information claire."
18_coop_facture.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,23.03,318,False,,note_frais,note_frais,llm,True,inconnu,,llm,False,2026-04-17,2026-04-17,llm,True,68.5,68.5,llm,True,Note de frais Coop Pronto. Aucun client connu identifié dans la liste.
19_avs_facture_cotisations.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,35.42,484,False,,document_fiscal,facture_fournisseur,llm,False,Boulangerie La Mie Dorée Sàrl,,llm,False,2026-04-02,2026-04-02,llm,True,10187.26,10187.26,llm,True,"Facture d'acompte cotisations pour Boulangerie La Mie Dorée Sàrl, total 10'187.26 CHF."
20_recu_manuscrit_artisan.pdf,qwen2.5:7b-instruct-q4_K_M,classify_v2_fewshot.txt,28.22,406,False,,facture_fournisseur,facture_fournisseur,llm,True,Cafe du Centre,Cafe du Centre,llm,True,2026-04-25,2026-04-25,llm,True,388.5,388.5,llm,True,"Facture de Plomberie Bertinotti & Fils adressée à Cafe du Centre, total 388.50 CHF."
